2025-12-13 18:42:28 | INFO | train_base_models | [Utilization_and_Activity] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_RandomForest_fold4.pkl
2025-12-13 18:42:36 | INFO | train_base_models | [Utilization_and_Activity] [RandomForest] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_RandomForest_fold5.pkl
2025-12-13 18:42:36 | INFO | train_base_models | [Utilization_and_Activity] [RandomForest] FINAL OOF AUC = 0.6472
2025-12-13 18:42:36 | INFO | train_base_models | [Utilization_and_Activity] ▶ Training model: LightGBM
2025-12-13 18:42:37 | INFO | train_base_models | [Utilization_and_Activity] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_LightGBM_fold1.pkl
2025-12-13 18:42:38 | INFO | train_base_models | [Utilization_and_Activity] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_LightGBM_fold2.pkl
2025-12-13 18:42:39 | INFO | train_base_models | [Utilization_and_Activity] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_LightGBM_fold3.pkl
2025-12-13 18:42:40 | INFO | train_base_models | [Utilization_and_Activity] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_LightGBM_fold4.pkl
2025-12-13 18:42:40 | INFO | train_base_models | [Utilization_and_Activity] [LightGBM] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Utilization_and_Activity_LightGBM_fold5.pkl
2025-12-13 18:42:41 | INFO | train_base_models | [Utilization_and_Activity] [LightGBM] FINAL OOF AUC = 0.6533
2025-12-13 18:42:41 | INFO | train_base_models | 
==================== Group: Categorical_Flags ====================
2025-12-13 18:42:41 | INFO | train_base_models | [Categorical_Flags] X shape: (180488, 51), y shape: (180488,)
2025-12-13 18:42:41 | INFO | train_base_models | [Categorical_Flags] ▶ Training model: XGBoost
2025-12-13 18:42:41 | INFO | train_base_models | [Categorical_Flags] [XGBoost] Saved /Users/percival/Projects/strike-credit-risk/src/exp2_lendingclub/model_training/models/Categorical_Flags_XGBoost_fold1.pkl
